scheme_id,known_feasible,capability_score,price_wan,stroke_mm,rated_thrust_n,peak_thrust_n,speed_mm_s,accuracy_mm,response_time_ms,temp_low_c,temp_high_c,duty_cycle_pct,mass_kg,salt_spray_h,protection_grade,manual_emergency,self_lock,position_feedback,overload_protection,self_diagnosis
VIRTUAL-0001,1,53.5797,19.9952,213.7443,17861.9668,27678.8446,52.1071,0.68114,199.4465,-38.1638,88.6041,37.8465,21.2934,216.0,66.0,0,1,1,1,1
VIRTUAL-0002,0,20.856,10.249,102.8256,6401.9363,8258.3399,60.7883,0.53327,176.2642,-21.8078,68.6657,52.2094,7.2643,0.0,55.0,0,0,1,0,1
VIRTUAL-0003,1,70.8558,19.9347,78.8183,16249.4763,23846.7183,62.3334,0.62471,171.7861,-32.1336,98.1261,63.2494,16.8898,240.0,67.0,1,1,1,1,0
VIRTUAL-0004,1,47.5721,19.1143,131.6667,17210.609,25107.2363,89.26,0.43651,140.633,-19.0855,68.1395,71.1657,16.2983,0.0,54.0,0,1,1,0,0
VIRTUAL-0005,1,62.3649,17.5766,219.4314,16131.9941,23288.3383,81.3156,0.69099,153.1168,-33.288,76.2613,63.89,16.9272,24.0,55.0,0,1,1,1,1
VIRTUAL-0006,1,57.753,17.29,211.14,11218.7762,16818.483,87.015,0.12086,82.9664,-22.9006,71.9383,22.6053,15.3918,240.0,67.0,0,1,1,0,1
VIRTUAL-0007,1,45.746,14.1804,177.3492,13903.9003,21999.2808,41.7518,0.59709,251.004,-12.9451,88.7994,32.5583,12.7529,0.0,55.0,0,1,0,1,0
VIRTUAL-0008,1,56.5085,18.454,112.8376,17057.2642,23997.7902,48.1341,0.41256,228.2487,-58.4134,89.366,36.1632,16.3413,24.0,55.0,1,0,1,1,0
VIRTUAL-0009,1,48.9456,12.0798,109.3637,5840.6344,10072.5932,58.866,0.34637,192.0165,-15.7209,99.4301,48.9912,7.7011,0.0,54.0,1,1,1,1,0
VIRTUAL-0010,1,50.831,16.3683,129.0547,16926.2688,24748.8473,34.1994,0.84512,287.4213,-29.2621,88.4054,69.9912,14.1305,0.0,55.0,0,1,1,1,0
VIRTUAL-0011,1,51.5864,17.1463,132.4853,14682.635,22469.5018,73.3442,0.14505,151.4806,-41.0161,58.9059,56.2069,16.7154,168.0,65.0,0,0,1,1,0
